,id,name,artists,duration_s,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,Year_dt
106,0w2piYWj1F2bzUftzGJgK9,Paranoid,Kanye West,277.907,1/1/08,2008,0.114,0.587,0.611,9.83e-05,0.0765,-7.408,0.106,114.991,0.464,1,6,60,0,2008-01-01
107,7yNK27ZTpHew0c55VvIJgm,Dark Fantasy,Kanye West,280.787,11/22/10,2010,0.274,0.59,0.587,0.0,0.167,-5.919,0.0457,88.015,0.367,1,5,66,1,2010-01-01
108,6vegnfDS8DAEaCqWaPYGPy,Otis,Kanye West,178.213,8/8/11,2011,0.552,0.755,0.631,0.0,0.5,-4.751,0.302,94.571,0.433,0,7,66,1,2011-01-01
109,3rbNV2GI8Vtd8byhUtXZID,Clique,Kanye West,293.533,9/6/12,2012,0.0488,0.704,0.569,0.0,0.191,-4.998,0.247,109.314,0.313,0,7,64,1,2012-01-01
110,42GcjriRK6srwHkfbkBqVl,Blood On The Leaves,Kanye West,359.8,1/1/13,2013,0.396,0.454,0.69,0.0,0.101,-4.108,0.157,171.989,0.37,0,2,65,1,2013-01-01
111,1eQBEelI2NCy7AUTerX0KS,Ultralight Beam,Kanye West,320.68,6/10/16,2016,0.62,0.592,0.403,0.0,0.54,-8.768,0.414,105.169,0.391,0,0,71,1,2016-01-01
112,19a3JfW8BQwqHWUMbcqSx8,Famous,Kanye West,196.04,6/10/16,2016,0.0711,0.465,0.735,0.0,0.0975,-3.715,0.117,173.935,0.409,1,6,72,1,2016-01-01
113,432hUIl3ISDeytYW5XBQ5h,Wolves,Kanye West,301.587,6/10/16,2016,0.219,0.395,0.392,0.00173,0.134,-8.034,0.0925,155.856,0.103,1,1,71,1,2016-01-01
114,6vWEAOUSxohKxhp0K1BsxL,Mixed Personalities (feat. Kanye West),Kanye West,230.4,1/18/19,2019,0.457,0.661,0.44,0.0,0.128,-9.104,0.0803,149.937,0.352,1,2,76,1,2019-01-01
115,5DBmXF7QO43Cuy9yqva116,Family Business,Kanye West,278.893,2/10/04,2004,0.139,0.744,0.524,0.0,0.392,-7.452,0.21,93.691,0.606,1,1,59,1,2004-01-01
116,34j4OxJxKznBs88cjSL2j9,Never Let Me Down,Kanye West,324.44,2/10/04,2004,0.423,0.459,0.816,0.0,0.169,-4.872,0.403,80.293,0.643,0,11,58,1,2004-01-01
117,5b2FFKC64kxqcfaFnIZxoM,Get Em High,Kanye West,289.493,2/10/04,2004,0.184,0.614,0.644,0.0,0.489,-5.672,0.373,84.788,0.649,0,11,56,1,2004-01-01
118,5mEwhCsqadBZIE7SSrv1gC,Down And Out,Kanye West,248.627,1/1/04,2004,0.0232,0.74,0.841,0.0,0.111,-2.891,0.237,83.007,0.673,0,6,55,1,2004-01-01
119,7sZCAHP2duHwr5M5K7lHsb,Selfish,Kanye West,225.4,1/1/04,2004,0.221,0.71,0.597,0.0,0.432,-6.468,0.239,95.769,0.49,1,7,56,1,2004-01-01
120,6vB49BJ70zBpDrrAPwdaB8,Drive Slow,Kanye West,272.227,9/30/05,2005,0.031,0.593,0.592,1.12e-05,0.229,-8.217,0.29,81.33,0.488,1,11,57,1,2005-01-01
121,34KUIBsIUiPV7oCIzSdDAU,Diamonds From Sierra Leone - Remix,Kanye West,233.4,9/30/05,2005,0.258,0.671,0.814,0.0,0.164,-3.768,0.27,96.985,0.38,1,7,56,1,2005-01-01
